Dated Brent,63.89956896551725
Bonny light,1.1860576923076922
Mars,-3.8550802139037432
WTI,-3.675816993464052
Maya Europe,-10.567153284671532
Maya USGC,-9.372946859903381
ESPO,0.7339449541284404
Urals NWE,-1.8244444444444445
Urals MED,-1.5445945945945945
Dubai,-2.3089686098654707
LLS,1.4824324324324325
Propane,-23.530993064212122
Gasoline,11.092880372184002
Jet,13.557175701792035
Gasoil,13.32373489164179
FO 1%,-7.251919175096916
ULSD,15.566713545533833
Naphtha,-2.158248414792952
Butane,-23.279354922839133
FO 3.5%,-12.363254023026201
VGO 0.5%,2.370405281348416
FO 0.5%,-1.2833598572500002
VGO 2%,-0.010444672995475012
LLS.1,1.4824324324324325
Arab light,-2.7574235807860266
Arab Heavy,-6.324378109452735
Azeri BTC,1.2570469798657717
Tapis,3.2823788546255503
Dalia,-1.7617391304347825
Oman,-1.940888888888889
Oseberg blend,0.9244066985645931
ORL,-1.900603233835821
