,mean,min,max,std
Dated Brent,64.58093220338984,18.7,133.2,30.167944051319427
Bonny light,1.2798165137614679,-0.8,4.6,0.9963032418992919
Mars,-4.0625,-16.3,0.3,2.333084064066274
WTI,-4.792638036809816,-27.6,5.4,6.814938105685193
Maya Europe,-10.64055944055944,-22.9,-2.4,3.4792137557722618
Maya USGC,-9.694811320754718,-30.7,-1.5,4.604153320056666
ESPO,0.7051724137931035,-3.2,4.7,1.457965329254426
Urals NWE,-1.9758474576271186,-7.6,0.4,1.342828299201951
Urals MED,-1.70635593220339,-7.3,1.2,1.3819668894303359
Dubai,-2.5038135593220336,-12.1,2.6,2.0363711573933676
LLS,1.3101694915254238,-10.8,8.9,2.3358441231988905
Propane,-23.99968502536017,-59.71505202,1.984359921,14.5131362142204
Gasoline,11.156211237297713,0.756580275,25.88503756,4.603967216573524
Jet,14.315100219152542,3.026994596,41.07137404,6.249088124730049
Gasoil,14.384253507552447,5.869022745,37.59538209,5.343323930775565
FO 1%,-7.736189664771186,-26.34542385,1.731123332,5.559565517470295
ULSD,16.740298071873237,7.964169816,42.87206459,6.047736814264627
Naphtha,-2.4493982520042374,-18.43909066,8.943976399,4.509402906431956
Butane,-23.86675643612712,-59.80827647,0.518871611,13.471554312226464
FO 3.5%,-12.865750413165253,-39.8089992,-3.2841390560000003,6.394357352561794
VGO 0.5%,2.2891615067330506,-7.1785220370000005,10.43269922,3.1632091788150127
FO 0.5%,-1.2833598572500002,-5.629664032000001,4.105513834,2.5793714768518656
VGO 2%,-0.252245200398305,-11.41564172,8.055128941,3.582852382444226
Arab light,-2.843644067796611,-7.05,1.0,1.847599755456553
Arab Heavy,-6.642924528301886,-13.8,-2.6,2.5392433009607087
Azeri BTC,1.1974842767295597,-1.4,3.2,0.9053266331252275
Tapis,3.46271186440678,-0.5,11.5,2.1442195297016933
Dalia,-1.7860655737704918,-5.4,2.0,1.2992630681621966
Oman,-2.1118644067796613,-9.9,1.9,1.851049610242951
Oseberg blend,0.9670183486238533,-0.659,3.075,0.7407997226113994
ORL,-2.086682254201439,-7.675,1.5,2.081197364396723
